layer,text,value,uplink,fCode
2,(M40-M43) 変形性脊柱障害(M40-M43),130218,130001,M
2,(M45-M48) 脊椎障害(M45-M48),130249,130001,M
2,(M50-M54) その他の脊柱障害(M50-M54),130277,130001,M
2,(M60-M79) 軟部組織障害(M60-M79),130310,130001,M
2,(M60-M62) 筋障害(M60-M62),130311,130001,M
2,(M65-M67) 滑膜及び腱の障害(M65-M67),130337,130001,M
2,(M70-M79) その他の軟部組織障害(M70-M79),130361,130001,M
2,(M80-M94) 骨障害及び軟骨障害(M80-M94),130431,130001,M
2,(M80-M85) 骨の密度及び構造の障害(M80-M85),130432,130001,M
2,(M86-M89) その他の骨障害(M86-M89),130479,130001,M
2,(M91-M94) 軟骨障害(M91-M94),130513,130001,M
2,(M95-M99) 筋骨格系及び結合組織のその他の障害(M95-M99),130545,130001,M
2,第14章 腎尿路生殖器系の疾患(N00-N99),140001,140001,N
2,(N00-N07) 糸球体疾患(N00-N07),140002,140001,N
2,(N10-N15) 腎尿細管間質性疾患(N10-N15),140091,140001,N
2,(N17-N19) 腎不全(N17-N19),140121,140001,N
2,(N20-N23) 尿路結石症(N20-N23),140138,140001,N
2,(N25-N28) 腎及び尿管のその他の障害(N25-N28),140150,140001,N
2,(N30-N39) 尿路系のその他の疾患(N30-N39),140166,140001,N
2,(N40-N50) 男性生殖器の疾患(N40-N50),140214,140001,N
2,(N60-N64) 乳房の障害(N60-N64),140263,140001,N
2,(N70-N76) 女性骨盤臓器の炎症性疾患(N70-N76),140284,140001,N
2,(N80-N98) 女性生殖器の非炎症性障害(N80-N98),140318,140001,N
2,第15章 妊娠，分娩及び産じょく〈褥〉(O00-O99),150001,150001,O
2,(O00-O07) 流産に終わった妊娠(O00-O07),150002,150001,O
2,(O10-O16) 妊娠，分娩及び産じょく〈褥〉における浮腫，タンパク〈蛋白〉尿及び高血圧性障害(O10-O16),150073,150001,O
2,(O20-O29) 主として妊娠に関連するその他の母体障害(O20-O29),150098,150001,O
2,(O30-O48) 胎児及び羊膜腔に関連する母体ケア並びに予想される分娩の諸問題(O30-O48),150164,150001,O
2,(O60-O75) 分娩の合併症(O60-O75),150263,150001,O
2,(O85-O92) 主として産じょく〈褥〉に関連する合併症(O85-O92),150381,150001,O
2,(O95-O99) その他の産科的病態，他に分類されないもの(O95-O99),150435,150001,O
2,第16章 周産期に発生した病態(P00-P96),160001,160001,P
2,(P00-P04) 母体側要因並びに妊娠及び分娩の合併症により影響を受けた胎児及び新生児(P00-P04),160002,160001,P
2,(P05-P08) 妊娠期間及び胎児発育に関連する障害(P05-P08),160096,160001,P
2,(P10-P15) 出産外傷(P10-P15),160113,160001,P
2,(P20-P29) 周産期に特異的な呼吸障害及び心血管障害(P20-P29),160163,160001,P
2,(P35-P39) 周産期に特異的な感染症(P35-P39),160229,160001,P
2,(P50-P61) 胎児及び新生児の出血性障害及び血液障害(P50-P61),160269,160001,P
2,(P70-P72) 胎児及び新生児に特異的な一過性の内分泌障害及び代謝障害(P70-P72),160343,160001,P
2,(P76-P78) 胎児及び新生児の消化器系障害(P76-P78),160366,160001,P
2,(P80-P83) 胎児及び新生児の外皮及び体温調節に関連する病態(P80-P83),160381,160001,P
2,(P90-P99) 周産期に発生したその他の障害(P90-P99),160400,160001,P
2,第17章 先天奇形，変形及び染色体異常(Q00-Q99),170001,170001,Q
2,(Q00-Q07) 神経系の先天奇形(Q00-Q07),170002,170001,Q
2,(Q10-Q18) 眼，耳，顔面及び頚部の先天奇形(Q10-Q18),170052,170001,Q
2,(Q20-Q28) 循環器系の先天奇形(Q20-Q28),170123,170001,Q
2,(Q30-Q34) 呼吸器系の先天奇形(Q30-Q34),170206,170001,Q
2,(Q35-Q37) 唇裂及び口蓋裂(Q35-Q37),170244,170001,Q
2,(Q38-Q45) 消化器系のその他の先天奇形(Q38-Q45),170264,170001,Q
2,(Q50-Q56) 生殖器の先天奇形(Q50-Q56),170367,170001,Q
2,(Q60-Q64) 腎尿路系の先天奇形(Q60-Q64),170427,170001,Q
2,(Q65-Q79) 筋骨格系の先天奇形及び変形(Q65-Q79),170473,170001,Q
2,(Q80-Q89) その他の先天奇形(Q80-Q89),170608,170001,Q
2,(Q90-Q99) 染色体異常，他に分類されないもの(Q90-Q99),170676,170001,Q
2,第18章 症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの(R00-R99),180001,180001,R
2,(R00-R09) 循環器系及び呼吸器系に関する症状及び徴候(R00-R09),180002,180001,R
2,(R10-R19) 消化器系及び腹部に関する症状及び徴候(R10-R19),180045,180001,R
2,(R20-R23) 皮膚及び皮下組織に関する症状及び徴候(R20-R23),180072,180001,R
2,(R25-R29) 神経系及び筋骨格系に関する症状及び徴候(R25-R29),180095,180001,R
2,(R30-R39) 腎尿路系に関する症状及び徴候(R30-R39),180119,180001,R
2,(R40-R46) 認識，知覚，情緒状態及び行動に関する症状及び徴候(R40-R46),180135,180001,R
2,(R47-R49) 言語及び音声に関する症状及び徴候(R47-R49),180178,180001,R
2,(R50-R68) 全身症状及び徴候(R50-R68),180193,180001,R
2,(R70-R79) 血液検査の異常所見，診断名の記載がないもの(R70-R79),180254,180001,R
2,(R80-R82) 尿検査の異常所見，診断名の記載がないもの(R80-R82),180295,180001,R
2,(R83-R89) その他の体液，検体〈材料〉及び組織の検査の異常所見，診断名の記載がないもの(R83-R89),180309,180001,R
2,(R90-R94) 画像診断及び機能検査における異常所見，診断名の記載がないもの(R90-R94),180376,180001,R
2,(R95-R99) 診断名不明確及び原因不明の死亡(R95-R99),180402,180001,R
2,第19章 損傷，中毒及びその他の外因の影響(S00-T98),190001,190001,S
2,(S00-S09) 頭部損傷(S00-S09),190002,190001,S
2,(S10-S19) 頚部損傷(S10-S19),190131,190001,S
2,(S20-S29) 胸部〈郭〉損傷(S20-S29),190198,190001,S
2,(S30-S39) 腹部，下背部，腰椎及び骨盤部の損傷(S30-S39),190313,190001,S
2,(S40-S49) 肩及び上腕の損傷(S40-S49),190456,190001,S
2,(S50-S59) 肘及び前腕の損傷(S50-S59),190536,190001,S
2,(S60-S69) 手首及び手の損傷(S60-S69),190621,190001,S
2,(S70-S79) 股関節部及び大腿の損傷(S70-S79),190717,190001,S
2,(S80-S89) 膝及び下腿の損傷(S80-S89),190790,190001,S
2,(S90-S99) 足首及び足の損傷(S90-S99),190878,190001,S
2,(T00-T07) 多部位の損傷(T00-T07),190962,190001,S
2,(T08-T14) 部位不明の体幹もしくは(四)肢の損傷又は部位不明の損傷(T08-T14),191046,190001,S
2,(T15-T19) 自然開口部からの異物侵入の作用(T15-T19),191099,190001,S
2,(T20-T32) 熱傷及び腐食(T20-T32),191131,190001,S
2,(T20-T25) 体表面の熱傷及び腐食，明示された部位(T20-T25),191132,190001,S
2,(T26-T28) 眼及び内臓に限局する熱傷及び腐食(T26-T28),191187,190001,S
2,(T29-T32) 多部位及び部位不明の熱傷及び腐食(T29-T32),191219,190001,S
2,(T33-T35) 凍傷(T33-T35),191260,190001,S
2,(T36-T50) 薬物，薬剤及び生物学的製剤による中毒(T36-T50),191292,190001,S
2,(T51-T65) 薬用を主としない物質の毒作用(T51-T65),191445,190001,S
2,(T66-T78) 外因のその他及び詳細不明の作用(T66-T78),191549,190001,S
2,(T79) 外傷の早期合併症(T79),191606,190001,S
2,(T80-T88) 外科的及び内科的ケアの合併症，他に分類されないもの(T80-T88),191618,190001,S
2,(T90-T98) 損傷，中毒及びその他の外因による影響の続発・後遺症(T90-T98),191710,190001,S
2,第20章 傷病及び死亡の外因(V00-Y98),200001,200001,V
2,(V01-X59) 不慮の事故(V01-X59),200002,200001,V
2,(V01-V98) 交通事故(V01-V98),200003,200001,V
2,(V01-V09) 交通事故により受傷した歩行者(V01-V09),200004,200001,V
2,(V10-V19) 交通事故により受傷した自転車乗員(V10-V19),200035,200001,V
2,(V20-V29) 交通事故により受傷したオートバイ乗員(V20-V29),200118,200001,V
2,(V30-V39) 交通事故により受傷したオート三輪車乗員(V30-V39),200201,200001,V
2,(V40-V49) 交通事故により受傷した乗用車乗員(V40-V49),200302,200001,V
2,(V50-V59) 交通事故により受傷した軽トラック乗員又はバン乗員(V50-V59),200403,200001,V
2,(V60-V69) 交通事故により受傷した大型輸送車両乗員(V60-V69),200504,200001,V
2,(V70-V79) 交通事故により受傷したバス乗員(V70-V79),200605,200001,V
2,(V80-V89) その他の陸上交通事故(V80-V89),200706,200001,V
2,(V90-V94) 水上交通事故(V90-V94),200808,200001,V
2,(V95-V97) 航空及び宇宙交通事故(V95-V97),200864,200001,V
2,(V98) その他及び詳細不明の交通事故(V98),200885,200001,V
2,(W00-X59) 不慮の損傷のその他の外因(W00-X59),200887,200001,V
2,(W00-W17) 転倒・転落・墜落(W00-W17),200888,200001,V
2,(W20-W49) 生物によらない機械的な力への曝露(W20-W49),201087,200001,V
2,(W50-W64) 生物による機械的な力への曝露(W50-W64),201396,200001,V
2,(W65-W74) 不慮の溺死及び溺水(W65-W74),201529,200001,V
2,(W75-W84) その他の不慮の窒息(W75-W84),201618,200001,V
2,(W85-W99) 電流，放射線並びに極端な気温及び気圧への曝露(W85-W99),201718,200001,V
2,(X00-X09) 煙，火及び火炎への曝露(X00-X09),201840,200001,V
2,(X10-X19) 熱及び高温物質との接触(X10-X19),201940,200001,V
2,(X20-X29) 有毒動植物との接触(X20-X29),202051,200001,V
2,(X30-X39) 自然の力への曝露(X30-X39),202162,200001,V
2,(X40-X49) 有害物質による不慮の中毒及び有害物質への曝露(X40-X49),202317,200001,V
2,(X50-X57) 無理ながんばり，旅行及び欠乏状態(X50-X57),202428,200001,V
2,(X58-X59) その他及び詳細不明の要因への不慮の曝露(X58-X59),202495,200001,V
2,(X60-X84) 故意の自傷及び自殺(X60-X84),202540,200001,V
2,(X85-Y09) 加害にもとづく傷害及び死亡(X85-Y09),202816,200001,V
2,(Y10-Y34) 不慮か故意か決定されない事件(Y10-Y34),203193,200001,V
2,(Y35-Y36) 法的介入及び戦争行為(Y35-Y36),203469,200001,V
2,(Y40-Y84) 内科的及び外科的ケアの合併症(Y40-Y84),203490,200001,V
2,(Y40-Y59) 治療上の使用により有害作用を引き起こした薬物，薬剤及び生物学的製剤(Y40-Y59),203491,200001,V
2,(Y60-Y69) 外科的及び内科的ケア時における患者に対する医療事故(Y60-Y69),203687,200001,V
2,(Y70-Y82) 治療及び診断に用いて副反応を起こした医療用器具(Y70-Y82),203745,200001,V
2,(Y83-Y84) 患者の異常反応又は後発合併症を生じた外科的及びその他の医学的処置で，処置時には事故の記載がないもの(Y83-Y84),203824,200001,V
2,(Y85-Y89) 傷病及び死亡の外因の続発・後遺症(Y85-Y89),203846,200001,V
2,第22章 特殊目的用コード(U00-U99),210001,210001,U
2,(U00-U49) 原因不明の新たな疾患の暫定分類(U00-U49),210002,210001,U
